job,website,company,salary
软件研发工程师助理（java/web/安卓/ios）,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
高薪可培养JAVA开发工程师/java工程师,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4000-6000
急聘java实习生+双休,http://company.zhaopin.com/CC274212189.htm,无锡达内科技有限公司第一分公司,4001-6000
JAVA开发工程师双休6k+,http://company.zhaopin.com/CC274212189.htm,无锡达内科技有限公司第一分公司,6001-8000
Java实习生（急聘）,http://company.zhaopin.com/CC274212189.htm,无锡达内科技有限公司第一分公司,4001-6000
java实习生 有上进心,http://company.zhaopin.com/CC274212189.htm,无锡达内科技有限公司第一分公司,4001-6000
（应届生可实习）JAVA软件工程师助理,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
年终奖IT程序员/java/数据库开发工程师助理,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
Java开发工程师,http://company.zhaopin.com/CC527029631.htm,无锡阿甲科技有限公司,4001-6000
项目奖金java开发工程师助理/Java实习生,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
IT学徒+JAVA程序员软件开发实习生,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
Java初级工程师/JAVA实习 高薪晋升,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
储备干部（java/WEB/c语言/PHP)IT行业,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
JAVA实习生/java开发工程师双休,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4000-6000
诚聘初级JAVA开发工程师（非外包/周末双休/五险一金/午餐补贴）,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
java开发工程师+双休+六险两金,http://company.zhaopin.com/CC274212189.htm,无锡达内科技有限公司第一分公司,6001-8000
移动开发工程师/Java/安卓/ios（不限专业）,http://company.zhaopin.com/CC527029631.htm,无锡阿甲科技有限公司,4001-6000
Java开发工程师助理（无经验）,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
java开发助理工程师/学徒（4K起薪+绩效奖）,http://company.zhaopin.com/CC527029631.htm,无锡阿甲科技有限公司,6001-8000
Java软件开发工程师/实习生/计算机专业应届生,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
Java实习生/Java开发/Java程序员,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
4k+住宿java开发,http://company.zhaopin.com/CC527029631.htm,无锡阿甲科技有限公司,6001-8000
Java开发实习生（五险一金+项目提成+双休）,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4000-6000
java程序员、软件工程师实习+转正,http://company.zhaopin.com/CC527029631.htm,无锡阿甲科技有限公司,4001-6000
