job,website,company,salary
高薪转正5K+软件测试实习生/软件开发工程师,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
晋升快可培养web前端开发工程师助理实习生,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
五险一金可实习实施工程师/运维工程师助理,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
五险软件开发工程师助理/软件实施实习生,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
web前端工程师助理/web实习生双休待遇优,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
高薪+五险一金web前端实习/web前端工程师,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4000-6000
年底双薪+年终奖 web开发实习生可转正,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
Java开发工程师助理/双休,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
可实习+年终分红web前端制作/web前端设计,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
"网站制作/网站维护/网站开发C,C#，C++方向",http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
高薪晋升快Java初级工程师/java实习生,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
高薪诚聘Java/php/C语言网站开发实习生,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
C语言/C++开发包食宿,http://company.zhaopin.com/CC274212189.htm,无锡达内科技有限公司第一分公司,6001-8000
高薪高社保java初级工程师/java实习生,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4000-6000
年终奖WEB前端开发实习生+4K,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
WEB前端开发师助理可实习双休五险一金,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
可培养软件测试工程师助理/软件测试实习生,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
测试开发工程师（五险一金+双休）,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
初级Java开发工程师实习生接收实习生,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
双休Java开发助理/java开发工程师可实习,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,3500-5000
Java开发实习生,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
初级Java工程师实习岗 高薪晋升,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
诚聘java/c++/web/PHP/安卓软件开发实习生,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
诚聘java/c++/web/PHP/安卓软件实习生,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
（五险+双休）web前端设计师助理,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
初级软件测试工程师可实习+年底双薪,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,3000-5000
（五险+双休）软件测试实习/软件开发助理,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,3500-5000
双休+五险软件测试实习生/系统测试,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
（亿元集团）web前端工程师助理,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
年底双薪嵌入式系统硬件开发工程师助理,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
可实习+高社保游戏测试/软件测试工程师,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
